1,0,64,71,0.000,0.500
1,0,67,71,0.500,1.000
1,0,67,71,1.000,0.500
1,0,67,71,0.500,1.000
1,0,67,71,1.000,0.500
1,0,69,71,0.500,1.000
1,0,69,71,1.000,0.500
1,0,69,71,0.500,1.000
1,0,64,71,1.000,0.500
1,0,67,71,0.500,1.000
1,0,67,71,1.000,0.500
1,0,67,71,0.500,1.000
1,0,67,71,1.000,0.500
1,0,69,71,0.500,1.000
1,0,69,71,1.000,0.500
1,0,69,71,0.500,1.000
1,0,67,71,1.000,0.500
1,0,69,71,0.500,1.000
1,0,69,71,1.000,0.500
1,0,69,71,0.500,1.000
1,0,72,71,1.000,0.500
1,0,71,71,0.500,1.000
1,0,69,71,1.000,0.500
1,0,67,71,0.500,1.000
1,0,65,71,1.000,0.500
1,0,67,71,0.500,1.000
1,0,67,71,1.000,2.000
1,0,64,71,2.000,0.500
1,0,67,71,0.500,1.000
1,0,67,71,1.000,0.500
1,0,67,71,0.500,1.000
1,0,67,71,1.000,0.500
1,0,69,71,0.500,1.000
1,0,69,71,1.000,0.500
1,0,71,71,0.500,1.000
1,0,67,71,1.000,0.500
1,0,72,71,0.500,1.000
1,0,72,71,1.000,0.500
1,0,72,71,0.500,1.000
1,0,72,71,1.000,0.500
1,0,72,71,0.500,1.000
1,0,72,71,1.000,0.500
1,0,74,71,0.500,1.000
1,0,72,71,1.000,0.500
1,0,74,71,0.500,1.000
1,0,74,71,1.000,0.500
1,0,74,71,0.500,1.000
1,0,74,71,1.000,0.500
1,0,76,71,0.500,1.000
1,0,76,71,1.000,0.500
1,0,76,71,0.500,1.000
1,0,74,71,1.000,0.500
1,0,74,71,0.500,1.000
1,0,72,71,1.000,2.000
1,0,64,71,2.000,1.000
1,0,67,71,1.000,0.500
1,0,69,71,0.500,1.000
1,0,69,71,1.000,2.000
1,0,69,71,2.000,1.000
1,0,67,71,1.000,0.500
1,0,64,71,0.500,1.000
1,0,64,71,1.000,2.000
1,0,64,71,2.000,1.000
1,0,67,71,1.000,0.500
1,0,69,71,0.500,1.000
1,0,69,71,1.000,2.000
1,0,69,71,2.000,1.000
1,0,67,71,1.000,0.500
1,0,64,71,0.500,2.000
1,0,62,71,2.000,2.000
1,0,60,71,2.000,2.000
