Timestamp,Note,Velocity
0,0,74
0,27,51
0,51,51
0,54,51
0,58,51
,,
1.71428571428571,63,74
1.71428571428571,34,51
,,
1.71428571428571,49,51
,,
,,
1.71428571428571,53,51
,,
1.71428571428571,58,51
,,
3.42857142857143,63,74
3.42857142857143,35,51
,,
,,
3.42857142857143,47,51
,,
3.42857142857143,54,51
,,
3.42857142857143,58,51
5.14285714285714,63,74
,,
5.14285714285714,32,51
,,
5.14285714285714,44,51
,,
,,
5.14285714285714,51,51
,,
6.85714285714286,59,74
,,
,,
,,
6.85714285714286,27,51
6.85714285714286,51,51
6.85714285714286,54,51
,,
6.85714285714286,58,51
,,
8.57142857142857,63,74
8.57142857142857,34,51
,,
8.57142857142857,49,51
,,
,,
8.57142857142857,53,51
,,
8.57142857142857,58,51
,,
10.2857142857143,63,74
10.2857142857143,35,51
,,
,,
10.2857142857143,47,51
,,
10.2857142857143,54,51
,,
10.2857142857143,58,51
12,63,74
,,
12,32,51
,,
12,44,51
,,
,,
12,51,51
,,
,,
,,
,,
13.7142857142857,59,51
13.7142857142857,51,51
13.7142857142857,54,51
,,
13.7142857142857,58,51
13.7142857142857,63,96
15,70,96
,,
15.4285714285714,66,51
,,
15.4285714285714,49,51
,,
,,
15.4285714285714,53,51
,,
15.4285714285714,58,51
,,
15.4285714285714,63,96
16.7142857142857,68,96
,,
17.1428571428571,65,51
,,
,,
17.1428571428571,47,51
,,
17.1428571428571,54,51
17.1428571428571,58,96
,,
17.1428571428571,61,51
,,
,,
17.2008928571429,63,96
,,
18.8571428571429,63,51
,,
18.8571428571429,44,51
,,
,,
18.8571428571429,51,51
,,
,,
,,
20.5714285714286,59,51
20.5714285714286,51,51
20.5714285714286,54,51
,,
20.5714285714286,58,51
20.5714285714286,63,96
21.8571428571429,70,96
,,
22.2857142857143,66,51
,,
22.2857142857143,49,51
,,
,,
22.2857142857143,53,51
,,
22.2857142857143,58,51
,,
22.2857142857143,63,96
23.5714285714286,68,96
,,
24,65,51
,,
,,
24,47,51
,,
24,54,51
24,58,96
,,
24,61,51
,,
,,
24.0580357142857,63,96
,,
25.7142857142857,63,51
,,
25.7142857142857,44,51
,,
,,
25.7142857142857,51,51
,,
,,
,,
,,
